SEF_DCM_Name|SEF_DCM_LEI|Trade_Date|Effective_Date|Internal_Prod_ID|Internal_Prod_Des|Asset_Class|Base_Prod|Sub_Prod|Tran_Type|Contract_Type|Curr_Code|Setl_Method|UPI|Block_Flag|Option_Flag|DCO_Name|DCO_LEI|Premium_Volatility_Other_Flag|First_Price|High_Price|Low_Price|Last_Price|Traded_Currency|Notional_Traded_Currency_DA|Notional_Traded_Currency_NDA|Total_Notional_USD_DA|Cleared_Notional_USD_DA|Un_Cleared_Notional_USD_DA|Total_Notional_USD_NDA|Cleared_Notional_USD_NDA|Un_Cleared_Notional_USD_NDA|Total_Trade_Count|Cleared_Trade_Count|Un_Cleared_Trade_Count
Tradition SEF Inc.|549300MBO45EHETL4438|20230421|20230424|2I65BRZI4_5Y_DS10|"HY40 V1 5Y CD "|CD|INDX|CDX|CDXHY|2I65BRZI4|USD|CASH||N|N|IntercontinentalExchange, Inc.|549300R4IG1TWPZT5U32|O|100.89|101.06|100.89|101.06|USD|20000000.0|20000000|20000000|20000000|0|20000000|20000000|0|2|2|0
Tradition SEF Inc.|549300MBO45EHETL4438|20230421|20230424|2I65BYEC5_5Y_DS50|"IG40 V1 5Y CD "|CD|INDX|CDX|CDXIG|2I65BYEC5|USD|CASH||N|N|IntercontinentalExchange, Inc.|549300R4IG1TWPZT5U32|O|76.05|76.05|76.05|76.05|USD|50000000.0|50000000|50000000|50000000|0|50000000|50000000|0|2|2|0
Tradition SEF Inc.|549300MBO45EHETL4438|20230421|20230420|726171|"7M USD vs. JPY Double No Touch 126/141"|FX|SPEX|BIN|USDJPY||USD|CASH||N|N|||P|525000|525000|525000|525000|USD|3000000.0|3000000|3000000|0|3000000|3000000|0|3000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230421|20230421|726172|"1M AUD vs. JPY Put at a delta of 50"|FX|O||AUDJPY||AUD|CASH||N|N|||P|132250|198375|132250|132250|AUD|1750000000|35000000|1171100030|0|1171100030|23422000|0|23422000|3|0|3
Tradition SEF Inc.|549300MBO45EHETL4438|20230421|20230421|726173|"1M AUD vs. JPY Call at a delta of 50"|FX|O||AUDJPY||AUD|CASH||N|N|||P|138750|208125|138750|138750|AUD|1750000000|35000000|1171100030|0|1171100030|23422000|0|23422000|3|0|3
Tradition SEF Inc.|549300MBO45EHETL4438|20230421|20230421|726174|"OD AUD vs. JPY Call at a strike of 91.1"|FX|O||AUDJPY||AUD|CASH||N|N|||P|185625|185625|185625|185625|AUD|75000000.0|75000000|50190000|0|50190000|50190000|0|50190000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230421|20230421|726175|"OD AUD vs. JPY Put at a strike of 86.75"|FX|O||AUDJPY||AUD|CASH||N|N|||P|337500|337500|337500|337500|AUD|75000000.0|75000000|50190000|0|50190000|50190000|0|50190000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230421|20230421|726178|"ON NZD vs. USD Call at a strike of 0.618"|FX|O||NZDUSD||NZD|CASH||N|N|||P|30750|30750|30750|30750|NZD|30000000.0|30000000|18417000|0|18417000|18417000|0|18417000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230421|20230421|726179|"OD NZD vs. USD Put at a strike of 0.6155"|FX|O||NZDUSD||NZD|CASH||N|N|||P|111750|111750|111750|111750|NZD|30000000.0|30000000|18417000|0|18417000|18417000|0|18417000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230421|20230421|726182|"1Y USD vs. HKD Put at a strike of 7.8"|FX|O||USDHKD||USD|CASH||N|N|||P|1750000|1750000|1750000|1750000|USD|500000000.0|500000000|500000000|0|500000000|500000000|0|500000000|1|0|1
